venue,innings,batting_team,bowling_team,striker,bowler,total_runs
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"['LMP Simmons', 'PA Patel', 'RG Sharma']","['D Wiese', 'MA Starc', 'HV Patel', 'S Aravind']",40
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Rajasthan Royals,"['F du Plessis', 'BB McCullum', 'SK Raina', 'DR Smith']","['CH Morris', 'PV Tambe', 'SR Watson', 'Ankit Sharma']",35
"MA Chidambaram Stadium, Chepauk",2,Rajasthan Royals,Chennai Super Kings,"['SPD Smith', 'SR Watson', 'AM Rahane']","['A Nehra', 'MM Sharma']",40
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kings XI Punjab,"['DA Warner', 'S Dhawan']","['Anureet Singh', 'BE Hendricks', 'Gurkeerat Singh', 'Sandeep Sharma']",55
"Rajiv Gandhi International Stadium, Uppal",2,Kings XI Punjab,Sunrisers Hyderabad,"['M Vijay', 'M Vohra', 'WP Saha']","['TA Boult', 'B Kumar', 'Bipul Sharma', 'I Sharma']",47
Shaheed Veer Narayan Singh International Stadium,1,Chennai Super Kings,Delhi Daredevils,"['BB McCullum', 'DR Smith']","['Z Khan', 'S Nadeem']",16
Shaheed Veer Narayan Singh International Stadium,2,Delhi Daredevils,Chennai Super Kings,"['JP Duminy', 'Q de Kock', 'Yuvraj Singh', 'SS Iyer']","['MM Sharma', 'IC Pandey', 'R Ashwin']",28
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,"['M Vohra', 'WP Saha', 'GJ Maxwell', 'DA Miller', 'AR Patel', 'GJ Bailey']","['D Wiese', 'MA Starc', 'HV Patel', 'S Aravind', 'YS Chahal']",69
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,"['V Kohli', 'CH Gayle', 'Mandeep Singh', 'AB de Villiers']","['Anureet Singh', 'BE Hendricks', 'R Dhawan', 'Sandeep Sharma']",56
Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,"['LMP Simmons', 'PA Patel', 'RG Sharma']","['M Morkel', 'Shakib Al Hasan', 'UT Yadav']",43
Wankhede Stadium,2,Kolkata Knight Riders,Mumbai Indians,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['SL Malinga', 'R Vinay Kumar', 'MJ McClenaghan', 'Harbhajan Singh']",45
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"['MC Henriques', 'DA Warner', 'S Dhawan']","['D Wiese', 'MA Starc', 'HV Patel', 'AB Dinda', 'YS Chahal']",60
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"['KD Karthik', 'AB de Villiers', 'CH Gayle', 'Mandeep Singh', 'V Kohli']","['B Kumar', 'P Kumar', 'MC Henriques', 'KV Sharma', 'DW Steyn']",83
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Chennai Super Kings,"['Gurkeerat Singh', 'M Vohra', 'WP Saha', 'GJ Maxwell', 'GJ Bailey']","['A Nehra', 'P Negi', 'IC Pandey']",41
"Punjab Cricket Association Stadium, Mohali",2,Chennai Super Kings,Kings XI Punjab,"['F du Plessis', 'BB McCullum', 'MEK Hussey', 'SK Raina']","['BE Hendricks', 'Gurkeerat Singh', 'R Dhawan', 'Sandeep Sharma']",45
Brabourne Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"['SR Watson', 'AM Rahane']","['M Morkel', 'Shakib Al Hasan', 'Azhar Mahmood', 'UT Yadav']",66
Brabourne Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"['RV Uthappa', 'MK Pandey', 'YK Pathan', 'G Gambhir']","['CH Morris', 'DS Kulkarni', 'BB Sran']",49
M Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"['Q de Kock', 'SS Iyer']","['AB Dinda', 'D Wiese', 'MA Starc', 'HV Patel']",54
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Delhi Daredevils,"['V Kohli', 'CH Gayle']","['J Yadav', 'Z Khan']",2
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Mumbai Indians,"['MC Henriques', 'S Dhawan', 'DA Warner', 'EJG Morgan', 'KL Rahul']","['SL Malinga', 'R Vinay Kumar', 'MJ McClenaghan']",29
"Rajiv Gandhi International Stadium, Uppal",2,Mumbai Indians,Sunrisers Hyderabad,"['LMP Simmons', 'PA Patel']","['MC Henriques', 'DW Steyn', 'B Kumar', 'P Kumar']",37
Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"['LMP Simmons', 'PA Patel']","['A Nehra', 'R Ashwin']",44
Wankhede Stadium,2,Chennai Super Kings,Mumbai Indians,"['F du Plessis', 'SK Raina', 'MEK Hussey', 'DR Smith']","['SL Malinga', 'R Vinay Kumar', 'MJ McClenaghan']",50
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"['V Kohli', 'CH Gayle']","['CH Morris', 'DS Kulkarni', 'SR Watson', 'JP Faulkner']",41
Maharashtra Cricket Association Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"['SPD Smith', 'SR Watson', 'AM Rahane', 'SV Samson']","['HV Patel', 'MA Starc', 'S Aravind']",40
JSCA International Stadium Complex,1,Royal Challengers Bangalore,Chennai Super Kings,"['V Kohli', 'CH Gayle', 'Mandeep Singh', 'AB de Villiers']","['A Nehra', 'R Ashwin']",29
JSCA International Stadium Complex,2,Chennai Super Kings,Royal Challengers Bangalore,"['F du Plessis', 'MEK Hussey', 'DR Smith']","['HV Patel', 'MA Starc', 'S Aravind']",34
Eden Gardens,1,Mumbai Indians,Chennai Super Kings,"['LMP Simmons', 'PA Patel', 'RG Sharma']","['A Nehra', 'RA Jadeja', 'MM Sharma', 'R Ashwin']",60
Eden Gardens,2,Chennai Super Kings,Mumbai Indians,"['MEK Hussey', 'SK Raina', 'DR Smith']","['SL Malinga', 'R Vinay Kumar', 'MJ McClenaghan']",27
Wankhede Stadium,1,Mumbai Indians,Rising Pune Supergiants,"['KA Pollard', 'JC Buttler', 'HH Pandya', 'LMP Simmons', 'RG Sharma', 'AT Rayudu']","['I Sharma', 'RP Singh', 'MR Marsh']",37
Wankhede Stadium,2,Rising Pune Supergiants,Mumbai Indians,"['F du Plessis', 'AM Rahane']","['JJ Bumrah', 'MJ McClenaghan']",51
Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,"['P Negi', 'MA Agarwal', 'KK Nair', 'Q de Kock', 'SS Iyer']","['JW Hastings', 'AD Russell', 'UT Yadav']",26
Eden Gardens,2,Kolkata Knight Riders,Delhi Daredevils,"['RV Uthappa', 'G Gambhir']","['CH Morris', 'Z Khan', 'NM Coulter-Nile']",42
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Gujarat Lions,"['M Vijay', 'M Vohra']","['PJ Sangwan', 'S Ladda', 'JP Faulkner', 'P Kumar']",52
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Gujarat Lions,Kings XI Punjab,"['AJ Finch', 'BB McCullum', 'SK Raina']","['MM Sharma', 'MP Stoinis', 'MG Johnson', 'Sandeep Sharma']",56
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"['V Kohli', 'CH Gayle', 'AB de Villiers']","['A Nehra', 'Mustafizur Rahman', 'B Kumar']",49
M Chinnaswamy Stadium,2,Sunrisers Hyderabad,Royal Challengers Bangalore,"['MC Henriques', 'DA Warner', 'S Dhawan']","['HV Patel', 'SR Watson', 'Parvez Rasool', 'AF Milne']",56
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['JJ Bumrah', 'TG Southee', 'MJ McClenaghan']",35
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"['PA Patel', 'RG Sharma']","['AD Russell', 'GB Hogg', 'JW Hastings']",49
Saurashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,"['F du Plessis', 'KP Pietersen', 'AM Rahane']","['DJ Bravo', 'SB Jakati', 'PV Tambe', 'P Kumar']",57
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,"['AJ Finch', 'BB McCullum']","['I Sharma', 'RP Singh', 'M Ashwin', 'R Ashwin']",58
Feroz Shah Kotla,1,Kings XI Punjab,Delhi Daredevils,"['SE Marsh', 'M Vijay', 'M Vohra']","['CH Morris', 'Z Khan', 'P Negi', 'CR Brathwaite']",37
Feroz Shah Kotla,2,Delhi Daredevils,Kings XI Punjab,"['SV Samson', 'Q de Kock', 'SS Iyer']","['MM Sharma', 'AR Patel', 'MG Johnson', 'Sandeep Sharma']",28
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,"['MC Henriques', 'DA Warner', 'S Dhawan', 'EJG Morgan']","['M Morkel', 'Shakib Al Hasan', 'UT Yadav']",31
"Rajiv Gandhi International Stadium, Uppal",2,Kolkata Knight Riders,Sunrisers Hyderabad,"['RV Uthappa', 'G Gambhir']","['Mustafizur Rahman', 'B Kumar', 'BB Sran']",36
Wankhede Stadium,1,Mumbai Indians,Gujarat Lions,"['HH Pandya', 'PA Patel', 'RG Sharma', 'JC Buttler']","['DS Kulkarni', 'P Kumar']",30
Wankhede Stadium,2,Gujarat Lions,Mumbai Indians,"['AJ Finch', 'BB McCullum', 'SK Raina']","['JJ Bumrah', 'TG Southee', 'MJ McClenaghan', 'KH Pandya']",42
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Rising Pune Supergiants,Kings XI Punjab,"['F du Plessis', 'KP Pietersen', 'AM Rahane']","['AR Patel', 'P Sahu', 'KJ Abbott', 'Sandeep Sharma']",45
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Rising Pune Supergiants,"['M Vijay', 'M Vohra']","['I Sharma', 'Ankit Sharma', 'R Ashwin']",47
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"['V Kohli', 'CH Gayle', 'AB de Villiers']","['CH Morris', 'Mohammed Shami', 'Z Khan']",63
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"['SV Samson', 'Q de Kock', 'KK Nair', 'SS Iyer']","['SR Watson', 'Parvez Rasool', 'S Aravind']",48
"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,"['PA Patel', 'MJ Guptill', 'AT Rayudu', 'RG Sharma']","['MC Henriques', 'Mustafizur Rahman', 'B Kumar', 'BB Sran']",35
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Mumbai Indians,"['MC Henriques', 'DA Warner', 'S Dhawan']","['JJ Bumrah', 'TG Southee', 'MJ McClenaghan', 'Harbhajan Singh']",32
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"['SE Marsh', 'M Vijay', 'M Vohra']","['M Morkel', 'Shakib Al Hasan', 'UT Yadav']",41
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,"['RV Uthappa', 'G Gambhir']","['MM Sharma', 'AR Patel', 'KJ Abbott', 'Sandeep Sharma']",60
Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"['V Kohli', 'AB de Villiers', 'KL Rahul']","['JJ Bumrah', 'TG Southee', 'MJ McClenaghan']",49
Wankhede Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"['PA Patel', 'RG Sharma', 'AT Rayudu']","['SR Watson', 'KW Richardson', 'VR Aaron']",43
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Sunrisers Hyderabad,"['AJ Finch', 'BB McCullum', 'SK Raina']","['Mustafizur Rahman', 'DJ Hooda', 'B Kumar', 'BB Sran']",50
Saurashtra Cricket Association Stadium,2,Sunrisers Hyderabad,Gujarat Lions,"['DA Warner', 'S Dhawan']","['DJ Bravo', 'DW Steyn', 'SK Raina', 'P Kumar']",63
Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Rising Pune Supergiants,"['V Kohli', 'AB de Villiers', 'KL Rahul']","['I Sharma', 'NLTC Perera', 'Ankit Sharma']",43
Maharashtra Cricket Association Stadium,2,Rising Pune Supergiants,Royal Challengers Bangalore,"['SPD Smith', 'F du Plessis', 'KP Pietersen', 'AM Rahane', 'MS Dhoni']","['STR Binny', 'SR Watson', 'KW Richardson', 'HV Patel']",36
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"['SV Samson', 'Q de Kock', 'SS Iyer']","['JJ Bumrah', 'TG Southee', 'MJ McClenaghan', 'KH Pandya']",39
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,"['PA Patel', 'RG Sharma', 'AT Rayudu']","['CH Morris', 'Mohammed Shami', 'Z Khan', 'P Negi']",52
"Rajiv Gandhi International Stadium, Uppal",1,Kings XI Punjab,Sunrisers Hyderabad,"['SE Marsh', 'M Vijay', 'M Vohra', 'DA Miller']","['Mustafizur Rahman', 'DJ Hooda', 'B Kumar', 'BB Sran']",35
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Kings XI Punjab,"['DA Warner', 'S Dhawan']","['MM Sharma', 'GJ Maxwell', 'KJ Abbott', 'Sandeep Sharma']",65
Saurashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Gujarat Lions,"['SR Watson', 'V Kohli', 'AB de Villiers']","['DS Kulkarni', 'PV Tambe', 'P Kumar', 'SB Jakati']",50
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Royal Challengers Bangalore,"['BB McCullum', 'DR Smith']","['Iqbal Abdulla', 'SR Watson', 'KW Richardson', 'YS Chahal']",67
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Kolkata Knight Riders,"['SPD Smith', 'F du Plessis', 'AM Rahane']","['M Morkel', 'AD Russell', 'Shakib Al Hasan', 'SP Narine']",31
Maharashtra Cricket Association Stadium,2,Kolkata Knight Riders,Rising Pune Supergiants,"['RV Uthappa', 'SA Yadav', 'Shakib Al Hasan', 'G Gambhir']","['JA Morkel', 'NLTC Perera', 'R Ashwin']",53
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Mumbai Indians,Kings XI Punjab,"['PA Patel', 'RG Sharma', 'AT Rayudu']","['AR Patel', 'MG Johnson', 'Sandeep Sharma']",39
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Mumbai Indians,"['SE Marsh', 'GJ Maxwell', 'M Vijay', 'M Vohra']","['JJ Bumrah', 'TG Southee', 'MJ McClenaghan']",40
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Rising Pune Supergiants,"['DJ Hooda', 'S Dhawan', 'DA Warner', 'AP Tare', 'EJG Morgan']","['AB Dinda', 'NLTC Perera', 'MR Marsh']",27
"Rajiv Gandhi International Stadium, Uppal",2,Rising Pune Supergiants,Sunrisers Hyderabad,"['SPD Smith', 'F du Plessis', 'AM Rahane']","['A Nehra', 'Mustafizur Rahman', 'B Kumar']",44
Feroz Shah Kotla,1,Gujarat Lions,Delhi Daredevils,"['BB McCullum', 'DR Smith']","['CH Morris', 'Z Khan', 'S Nadeem']",71
Feroz Shah Kotla,2,Delhi Daredevils,Gujarat Lions,"['SV Samson', 'JP Duminy', 'KK Nair', 'RR Pant', 'Q de Kock']","['DS Kulkarni', 'P Kumar']",22
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"['RV Uthappa', 'G Gambhir']","['JJ Bumrah', 'TG Southee', 'MJ McClenaghan', 'Harbhajan Singh']",59
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"['PA Patel', 'RG Sharma', 'AT Rayudu']","['JD Unadkat', 'SP Narine', 'Shakib Al Hasan', 'UT Yadav']",62
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Gujarat Lions,"['SPD Smith', 'SS Tiwary', 'AM Rahane']","['DS Kulkarni', 'P Kumar']",47
Maharashtra Cricket Association Stadium,2,Gujarat Lions,Rising Pune Supergiants,"['BB McCullum', 'DR Smith']","['AB Dinda', 'JA Morkel', 'NLTC Perera', 'R Ashwin']",62
Feroz Shah Kotla,1,Delhi Daredevils,Kolkata Knight Riders,"['SV Samson', 'SW Billings', 'KK Nair', 'Q de Kock', 'SS Iyer']","['AD Russell', 'JO Holder', 'SP Narine']",37
Feroz Shah Kotla,2,Kolkata Knight Riders,Delhi Daredevils,"['RV Uthappa', 'YK Pathan', 'G Gambhir', 'PP Chawla']","['Mohammed Shami', 'Z Khan']",43
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Royal Challengers Bangalore,"['KS Williamson', 'DA Warner', 'S Dhawan']","['KW Richardson', 'Parvez Rasool', 'HV Patel', 'SR Watson', 'VR Aaron']",49
"Rajiv Gandhi International Stadium, Uppal",2,Royal Challengers Bangalore,Sunrisers Hyderabad,"['V Kohli', 'AB de Villiers', 'KL Rahul']","['A Nehra', 'Mustafizur Rahman', 'B Kumar']",44
Saurashtra Cricket Association Stadium,1,Kings XI Punjab,Gujarat Lions,"['M Vijay', 'MP Stoinis']","['RA Jadeja', 'DS Kulkarni', 'P Kumar']",55
Saurashtra Cricket Association Stadium,2,Gujarat Lions,Kings XI Punjab,"['KD Karthik', 'BB McCullum', 'SK Raina', 'DR Smith']","['MP Stoinis', 'KC Cariappa', 'Sandeep Sharma', 'MM Sharma', 'AR Patel']",30
Maharashtra Cricket Association Stadium,1,Rising Pune Supergiants,Mumbai Indians,"['SPD Smith', 'SS Tiwary', 'AM Rahane']","['KH Pandya', 'TG Southee', 'JJ Bumrah', 'MJ McClenaghan']",54
Maharashtra Cricket Association Stadium,2,Mumbai Indians,Rising Pune Supergiants,"['PA Patel', 'RG Sharma', 'AT Rayudu']","['AB Dinda', 'SM Boland', 'NLTC Perera']",47
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"['V Kohli', 'CH Gayle', 'KL Rahul']","['AD Russell', 'SP Narine', 'M Morkel']",40
M Chinnaswamy Stadium,2,Kolkata Knight Riders,Royal Challengers Bangalore,"['RV Uthappa', 'MK Pandey', 'CA Lynn', 'G Gambhir']","['SR Watson', 'S Aravind', 'STR Binny', 'VR Aaron', 'YS Chahal']",35
Saurashtra Cricket Association Stadium,1,Gujarat Lions,Delhi Daredevils,"['KD Karthik', 'AJ Finch', 'SK Raina', 'DR Smith', 'BB McCullum']","['CH Morris', 'Mohammed Shami', 'Z Khan', 'S Nadeem']",35
Saurashtra Cricket Association Stadium,2,Delhi Daredevils,Gujarat Lions,"['Q de Kock', 'RR Pant']","['DS Kulkarni', 'SK Raina', 'P Kumar']",60
Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"['RV Uthappa', 'G Gambhir']","['MM Sharma', 'AR Patel', 'MP Stoinis', 'Sandeep Sharma']",40
Eden Gardens,2,Kings XI Punjab,Kolkata Knight Riders,"['MP Stoinis', 'M Vijay', 'M Vohra', 'WP Saha', 'GJ Maxwell']","['AD Russell', 'UT Yadav', 'M Morkel']",33
Feroz Shah Kotla,1,Delhi Daredevils,Rising Pune Supergiants,"['SV Samson', 'KK Nair', 'RR Pant']","['AB Dinda', 'SM Boland', 'NLTC Perera']",48
Feroz Shah Kotla,2,Rising Pune Supergiants,Delhi Daredevils,"['UT Khawaja', 'AM Rahane']","['Mohammed Shami', 'J Yadav', 'CR Brathwaite']",50
"Rajiv Gandhi International Stadium, Uppal",1,Gujarat Lions,Sunrisers Hyderabad,"['KD Karthik', 'AJ Finch', 'SK Raina', 'DR Smith', 'BB McCullum']","['A Nehra', 'Mustafizur Rahman', 'B Kumar']",26
"Rajiv Gandhi International Stadium, Uppal",2,Sunrisers Hyderabad,Gujarat Lions,"['MC Henriques', 'KS Williamson', 'DA Warner', 'S Dhawan']","['PJ Sangwan', 'DS Kulkarni', 'P Kumar']",37
M Chinnaswamy Stadium,1,Rising Pune Supergiants,Royal Challengers Bangalore,"['UT Khawaja', 'SS Tiwary', 'AM Rahane']","['Parvez Rasool', 'CJ Jordan', 'SR Watson', 'STR Binny', 'VR Aaron']",60
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rising Pune Supergiants,"['V Kohli', 'KL Rahul']","['AB Dinda', 'NLTC Perera', 'RP Singh']",46
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Delhi Daredevils,"['HM Amla', 'M Vijay', 'MP Stoinis']","['CH Morris', 'Mohammed Shami', 'Z Khan', 'S Nadeem']",45
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Delhi Daredevils,Kings XI Punjab,"['Q de Kock', 'SV Samson']","['MP Stoinis', 'KC Cariappa', 'Sandeep Sharma', 'MM Sharma', 'AR Patel']",51
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Mumbai Indians,"['DA Warner', 'S Dhawan']","['JJ Bumrah', 'TG Southee', 'MJ McClenaghan', 'Harbhajan Singh']",51
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Sunrisers Hyderabad,"['KH Pandya', 'KA Pollard', 'JC Buttler', 'HH Pandya', 'PA Patel', 'RG Sharma', 'AT Rayudu']","['A Nehra', 'B Kumar', 'BB Sran']",32
Eden Gardens,1,Kolkata Knight Riders,Gujarat Lions,"['RV Uthappa', 'Shakib Al Hasan', 'SA Yadav', 'G Gambhir', 'MK Pandey', 'YK Pathan']","['DS Kulkarni', 'P Kumar', 'DR Smith']",28
Eden Gardens,2,Gujarat Lions,Kolkata Knight Riders,"['BB McCullum', 'SK Raina', 'DR Smith']","['AD Russell', 'Shakib Al Hasan', 'M Morkel', 'PP Chawla']",46
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Royal Challengers Bangalore,Kings XI Punjab,"['V Kohli', 'KL Rahul']","['MM Sharma', 'MP Stoinis', 'Sandeep Sharma', 'Anureet Singh', 'AR Patel']",55
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Kings XI Punjab,Royal Challengers Bangalore,"['HM Amla', 'M Vijay', 'WP Saha']","['STR Binny', 'SR Watson', 'CJ Jordan', 'YS Chahal']",45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Sunrisers Hyderabad,Rising Pune Supergiants,"['KS Williamson', 'DA Warner', 'S Dhawan']","['AB Dinda', 'RP Singh']",33
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Sunrisers Hyderabad,"['UT Khawaja', 'GJ Bailey', 'AM Rahane', 'R Ashwin']","['A Nehra', 'B Kumar', 'BB Sran']",25
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"['V Kohli', 'CH Gayle', 'AB de Villiers', 'KL Rahul']","['JJ Bumrah', 'TG Southee', 'MJ McClenaghan', 'KH Pandya']",24
M Chinnaswamy Stadium,2,Mumbai Indians,Royal Challengers Bangalore,"['PA Patel', 'RG Sharma', 'AT Rayudu']","['STR Binny', 'SR Watson', 'CJ Jordan', 'S Aravind']",39
"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Delhi Daredevils,"['DA Warner', 'S Dhawan']","['Mohammed Shami', 'J Yadav', 'NM Coulter-Nile']",50
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Sunrisers Hyderabad,"['Q de Kock', 'MA Agarwal', 'KK Nair']","['A Nehra', 'Mustafizur Rahman', 'B Kumar', 'BB Sran']",49
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Kings XI Punjab,"['RG Sharma', 'AT Rayudu', 'N Rana', 'UBT Chand']","['MM Sharma', 'AR Patel', 'Sandeep Sharma']",21
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Kings XI Punjab,Mumbai Indians,"['HM Amla', 'M Vijay', 'WP Saha']","['KH Pandya', 'TG Southee', 'JJ Bumrah', 'MJ McClenaghan']",30
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Gujarat Lions,"['V Kohli', 'CH Gayle', 'AB de Villiers']","['S Kaushik', 'DS Kulkarni', 'PV Tambe', 'P Kumar']",36
M Chinnaswamy Stadium,2,Gujarat Lions,Royal Challengers Bangalore,"['RA Jadeja', 'BB McCullum', 'KD Karthik', 'DR Smith']","['STR Binny', 'SR Watson', 'YS Chahal', 'S Aravind']",40
Eden Gardens,1,Rising Pune Supergiants,Kolkata Knight Riders,"['SS Tiwary', 'UT Khawaja', 'GJ Bailey', 'AM Rahane']","['AD Russell', 'Shakib Al Hasan', 'M Morkel']",37
Eden Gardens,2,Kolkata Knight Riders,Rising Pune Supergiants,"['RV Uthappa', 'MK Pandey', 'YK Pathan', 'G Gambhir']","['AB Dinda', 'M Ashwin', 'A Zampa', 'R Ashwin']",59
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Sunrisers Hyderabad,"['HM Amla', 'M Vijay', 'WP Saha']","['A Nehra', 'Mustafizur Rahman', 'B Kumar', 'BCJ Cutting']",47
"Punjab Cricket Association IS Bindra Stadium, Mohali",2,Sunrisers Hyderabad,Kings XI Punjab,"['DA Warner', 'S Dhawan']","['MP Stoinis', 'M Vijay', 'Anureet Singh', 'Sandeep Sharma', 'GJ Maxwell', 'MM Sharma']",54
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Mumbai Indians,Delhi Daredevils,"['MJ Guptill', 'RG Sharma']","['CH Morris', 'Z Khan', 'S Nadeem']",45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Delhi Daredevils,Mumbai Indians,"['Q de Kock', 'MA Agarwal', 'KK Nair', 'SV Samson']","['JJ Bumrah', 'R Vinay Kumar', 'MJ McClenaghan', 'Harbhajan Singh']",49
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"['RV Uthappa', 'MK Pandey', 'G Gambhir']","['STR Binny', 'SR Watson', 'Iqbal Abdulla', 'S Aravind']",51
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"['V Kohli', 'CH Gayle']","['AD Russell', 'SP Narine', 'M Morkel', 'PP Chawla']",63
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Delhi Daredevils,Rising Pune Supergiants,"['SV Samson', 'Q de Kock', 'KK Nair', 'SS Iyer']","['AB Dinda', 'NLTC Perera', 'DL Chahar']",28
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Rising Pune Supergiants,Delhi Daredevils,"['UT Khawaja', 'GJ Bailey', 'AM Rahane']","['CH Morris', 'Z Khan', 'NM Coulter-Nile']",36
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"['V Kohli', 'CH Gayle']","['KC Cariappa', 'Sandeep Sharma', 'MM Sharma', 'AR Patel', 'KJ Abbott']",63
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"['HM Amla', 'Gurkeerat Singh', 'M Vijay', 'WP Saha', 'DA Miller', 'AR Patel']","['CJ Jordan', 'SR Watson', 'S Aravind', 'STR Binny', 'YS Chahal']",56
Green Park,1,Kolkata Knight Riders,Gujarat Lions,"['RV Uthappa', 'MK Pandey', 'G Gambhir', 'PP Chawla']","['DS Kulkarni', 'P Kumar', 'DR Smith']",38
